bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
CH,onwind,152.03223631852805,153.68557828955792,152.72436187929046,142.10140131929862,143.18309166646932,163.92300186290672,152.50880000218947,152.1025184713671,157.9491703593264,156.1344615981852,151.46429200282157,155.3652643993661,151.08115649423118,155.3268691265112,158.75228519932716,160.03219893309708,158.4734179421275,173.97281833703934,170.40759312075596,153.7445004662419
CH,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,solar,187.9304771675195,189.7879499346335,190.16663129360853,243.8052977121396,242.77579889032594,190.44699557958367,191.66233815313012,244.4764053723969,190.31592287135868,195.92476947866757,246.56132394638712,241.0198802747925,253.91022071632267,242.39715565385316,201.3249775344737,258.4506919596065,204.60890649285753,202.46109584842463,204.79070122613996,263.9280974311172
CZ,OCGT,286.2852193087993,219.63487931056162,229.9288702484744,292.2435271748915,131.58249054192683,206.28947599560726,187.9784133853073,203.72843453052255,174.26195950683353,189.3821830982721,191.94143748308252,253.03241361521123,255.15111774848657,251.39557771119323,157.11512486386815,207.9466360095526,175.49482892111,182.292912750593,185.17248223733702,218.38756089628149
CZ,onwind,243.3363550554023,243.35509892369413,254.86861133456188,236.63484180747042,240.4848029808378,245.0750575317615,231.4399445723021,250.2694077851178,242.60402523161935,247.22562071063984,252.36578503804478,244.0056833709674,241.62721052022482,244.38996690715317,252.99142722499224,245.96112764043437,246.05383526463763,248.35973339946938,254.1171387278232,236.31822767449182
CZ,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,solar,273.56653990694343,275.86306112909733,281.13378453386457,292.168328266105,288.4347605301813,279.532725060041,281.09733046021734,290.22915747074404,280.69838387554915,295.0783551491381,293.74199271263416,291.4970829531915,296.31754121942384,287.5132506999264,302.1915332221222,297.16027906469884,304.53435364563575,296.99873769269726,295.508671897255,309.3365809287637
DE,OCGT,235.80603448168168,200.4452881525767,223.653501812898,243.2232732606988,202.4597253114504,189.71381511620132,229.65169402360053,214.97135606369443,238.0043971181025,218.65815625243468,205.02571778034283,245.9421401087726,226.7184361239533,229.88401470366162,216.1097773143018,209.08743004963958,168.5749221774057,195.46309027383987,224.68688223485796,208.51651052112737
DE,offwind,277.2958407237883,271.10562864022285,271.63182333320873,270.7374671723627,270.71075502878443,276.6342295435477,261.6813644016448,267.3205228116728,260.1686502669362,286.20897701197555,285.55589153199134,274.7961316468935,272.62641981460126,282.0994369888964,284.5729417683787,269.81610990959183,274.8621579514001,277.7444342768666,276.43820369672966,274.1953430289276
DE,onwind,226.31357079791076,238.78612483708338,237.73767868659732,215.8536163768493,219.38024925388382,232.83303563723334,227.85100887337134,247.91538928370926,237.74010816373712,238.21353102337955,252.02307100364752,225.44050594883186,235.7666704577064,233.12539390008826,240.83606004136197,231.79659277472877,236.19827644974018,233.71844504601157,239.53613796449946,234.0995006426897
DE,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,solar,304.620532830801,317.6747988520879,310.81568456681373,338.7909799298378,326.49140668975804,314.56457770025116,323.38111438089754,332.8566021515922,321.2189143975234,333.45469755038346,336.3770762349239,328.65913039821663,338.84484169864794,317.36688585269,344.80249961691135,348.65831147796365,337.37157645786516,337.6388611961289,332.16477793134254,360.5597829680864
DK,OCGT,286.7365777751484,211.23931211983037,248.55923904110034,282.2761890954081,171.08350320685614,205.01939732247982,142.6679127914181,211.54383505097593,202.00390787214383,254.72756272350824,225.34819963200573,227.463773603489,256.2989785594768,250.51260410089532,108.83001116555933,196.78026993694866,181.2311599380879,211.6786153362354,149.91621684275276,186.86086978611738
