,"('1970-1976', 'ave')","('1970-1976', 'max')","('1970-1976', 'min')","('1976-1982', 'ave')","('1976-1982', 'max')","('1976-1982', 'min')","('1982-1988', 'ave')","('1982-1988', 'max')","('1982-1988', 'min')","('1988-1994', 'ave')","('1988-1994', 'max')","('1988-1994', 'min')","('1994-2000', 'ave')","('1994-2000', 'max')","('1994-2000', 'min')","('2000-2006', 'ave')","('2000-2006', 'max')","('2000-2006', 'min')","('2006-2012', 'ave')","('2006-2012', 'max')","('2006-2012', 'min')","('2012-2018', 'ave')","('2012-2018', 'max')","('2012-2018', 'min')","('2018-2024', 'ave')","('2018-2024', 'max')","('2018-2024', 'min')","('2024-2030', 'ave')","('2024-2030', 'max')","('2024-2030', 'min')","('2030-2038', 'ave')","('2030-2038', 'max')","('2030-2038', 'min')","('2038-2044', 'ave')","('2038-2044', 'max')","('2038-2044', 'min')","('2050-2056', 'ave')","('2050-2056', 'max')","('2050-2056', 'min')","('2056-2062', 'ave')","('2056-2062', 'max')","('2056-2062', 'min')","('2062-2070', 'ave')","('2062-2070', 'max')","('2062-2070', 'min')","('2070-2076', 'ave')","('2070-2076', 'max')","('2070-2076', 'min')","('2076-2082', 'ave')","('2076-2082', 'max')","('2076-2082', 'min')"
DE offwind,0.5196043125972932,0.998163022665,0.0105938721071,0.5174422691869008,0.998057683246,0.00799836028922,0.5158985486523592,0.998270829823,0.00907675391235,0.4987323087963453,0.997810436231,0.00786016478006,,,,0.5294233898155823,0.998253784413,0.00672490382779,0.5321790548829586,0.998248795615,0.0084828602904,0.48966259264661854,0.998008085792,0.00970247090177,0.5024043075225381,0.998196682147,0.00823569417219,0.5050023883711916,0.99821096326,0.00651358733868,0.5012559242050562,0.998022143761,0.00974688302761,0.5321460906826976,0.99817814721,0.00708151778692,0.5093856530639209,0.998327808994,0.00969540823117,0.5070225476502249,0.997961971547,0.00708947901425,0.47465970250097733,0.998230585119,0.00915957635805,0.49977840896278153,0.997877977146,0.00766000056302,0.48491424670636935,0.998091004197,0.00643518047286
DE solar,0.11028397394505826,0.703501560331,0.0,0.10839748338626852,0.699027030729,0.0,0.11232524530726042,0.725775227435,0.0,0.1102115524537992,0.717569447067,0.0,,,,0.10739101647390757,0.698397523331,0.0,0.10676232131414597,0.678775625058,0.0,0.11057533058435269,0.735154675997,0.0,0.10646032736853042,0.681370202337,0.0,0.10542653521411237,0.676932475747,0.0,0.10695380842531299,0.692651678519,0.0,0.10341154559056964,0.678810500129,0.0,0.10699650558205358,0.696847386044,0.0,0.10549039775954265,0.684757668935,0.0,0.1080337244663761,0.683126777184,0.0,0.1058811254591874,0.695236009727,0.0,0.10595388321823629,0.665526464683,0.0
DE ror,0.5240240292188945,1.0,0.00130229109084,0.5691935632946483,1.0,0.00144189855025,0.49284312943983477,1.0,0.000391762148766,0.5576345307346531,1.0,0.00117579610539,,,,0.5636198480384949,1.0,0.00164396546698,0.5058724333907781,1.0,0.00114725750868,0.531914886824261,1.0,0.00124648848624,0.5505915770365273,1.0,0.000657392911444,0.5256508002571998,1.0,0.00177510812407,0.5286960285859806,1.0,0.00110908976685,0.5843181089174458,1.0,0.00105734298416,0.500398992176213,1.0,0.000810707767471,0.5400157464451804,1.0,0.00109373635291,0.4980734029115923,1.0,0.00106394808436,0.4868871725232244,1.0,0.00153584222198,0.5418295635995993,1.0,0.00102871458026
DK onwind,0.37657657841335807,0.997858260954,0.00570378745182,0.3681975056923418,0.997797278076,0.00524664733045,0.3680426677406963,0.998039205711,0.00459205432432,0.3537281472810282,0.997539721364,0.00364124469257,,,,0.36831160796710766,0.9977049496,0.00366365064287,0.3661177245686429,0.997815971059,0.00476341875558,0.33444576327031944,0.997349916411,0.00516703141159,0.3433053250318942,0.997321670735,0.0036151888039,0.35475249329432257,0.997727610635,0.00393038072444,0.3552634331354451,0.998317834824,0.00509592678948,0.3725074715552548,0.997701601742,0.00453641875843,0.3631424107916242,0.996933896236,0.00419597272859,0.36193786177758436,0.997621045863,0.00335592800012,0.3214536527466213,0.997296198995,0.00375897721716,0.3585768175531426,0.998375909752,0.00511339285371,0.33342772390858905,0.997726122916,0.0039607472515
DK offwind,0.5224095270890555,0.993583978247,0.0160254132024,0.5105297138990527,0.99322016272,0.0097394183193,0.5139606051764208,0.993858277945,0.0153534283169,0.4933406875861038,0.992057149107,0.0118596676066,,,,0.5182871881466727,0.993249434837,0.0136731556557,0.517418456611126,0.99357905832,0.012427236211,0.48536301336118637,0.993112953528,0.0127783392173,0.4934044570548053,0.993736312542,0.0160273794913,0.49707687754693264,0.993715917813,0.0115051621634,0.5001835264324683,0.993991997554,0.012761306926,0.5197893016042858,0.994615758849,0.0112315379133,0.5068127968448582,0.993395119834,0.0119912914629,0.503131496425663,0.99271172455,0.0138065848314,0.4739360127872943,0.992829154337,0.0142261834814,0.5016286737535509,0.993997747798,0.0104156295095,0.47496648372376743,0.993547342477,0.0109921412725
DK solar,0.09970232972666868,0.744527898491,0.0,0.09795302471608597,0.730653118535,0.0,0.09972268117499694,0.6854418692,0.0,0.10035279037035191,0.747820465261,0.0,,,,0.09664251535525495,0.720256257494,0.0,0.09477818822837611,0.667763658426,0.0,0.09971669963672088,0.68742679396,0.0,0.09530288848945581,0.696377392574,0.0,0.09514883449412602,0.665175456648,0.0,0.09614480929466851,0.672176581686,0.0,0.09238022515297475,0.657611839987,0.0,0.09421958134719881,0.67618390721,0.0,0.0949546210659586,0.662000210076,0.0,0.09785935836723231,0.694520544423,0.0,0.09508454262446138,0.650701202338,0.0,0.0962545602358683,0.650049406751,0.0
DK ror,0.4916845526161977,1.0,0.0,0.5481701043334911,1.0,0.0,0.45190238616177,1.0,0.0,0.49894338466243626,1.0,0.0,,,,0.5062562546563879,1.0,0.0,0.5318063193688523,1.0,0.0,0.42233761085249816,1.0,0.0,0.5164897330198234,1.0,0.0,0.49959312026057273,1.0,0.0,0.4993002490533577,1.0,0.0,0.5998141835837351,1.0,0.0,0.5355049766247245,1.0,0.0,0.4935692515526754,1.0,0.0,0.3868064636485774,1.0,0.0,0.43026109762966064,1.0,0.0,0.46201269347716173,1.0,0.0
EE onwind,0.3268810026796302,0.995500098095,0.00343448888605,0.3162982000573976,0.996232897635,0.00450648098369,0.3197833137269437,0.993734047465,0.00300370250473,0.301785802253842,0.991713352766,0.00468776867094,,,,0.3206502672191863,0.993900624121,0.00485498211223,0.3198000824524103,0.996863923977,0.00287287881485,0.2942873409776015,0.993939476822,0.00236416481068,0.3063813893343783,0.992848672988,0.00410937498833,0.29886898819337937,0.994204028148,0.0036436163599,0.31136477088940573,0.994115565994,0.0042589737176,0.31694938167611186,0.994212845163,0.0041431009971,0.31620026270003126,0.994571050973,0.00445765356332,0.31386652253659064,0.9950486165,0.00407087858863,0.2862492303007119,0.994954997956,0.00321588588458,0.301244699581239,0.990844360283,0.00400179956662,0.30102146309428574,0.991178620481,0.00379696919144
EE offwind,0.43914722509582815,0.974166940461,0.00667807107072,0.4259493229948556,0.976292569394,0.00685222131594,0.44058218977054797,0.978317469657,0.00723073870473,0.4131426002923813,0.971926608445,0.00722560921314,,,,0.44757622435313926,0.974493550225,0.00422370321954,0.4523252935693298,0.974899386534,0.00590921631424,0.41943565800509625,0.980652404131,0.0068392912441,0.42988582920129254,0.976437073049,0.00551725663467,0.4234710183776909,0.976320308077,0.00629997063386,0.4390717496024804,0.974754483563,0.00682548105504,0.4494346478402895,0.975486078517,0.00794343800925,0.4519931604710093,0.975444911403,0.00375050361174,0.44398094273560146,0.977387595199,0.00661996264062,0.41352215110866447,0.979690100927,0.00740152689283,0.43344200294816654,0.97652453077,0.00785779699726,0.4336209966715046,0.976130183342,0.00794026878972
EE solar,0.10436075627077858,0.783297266552,0.0,0.09795707377790691,0.820946313856,0.0,0.10081417199309789,0.790935353097,0.0,0.1029169954762777,0.772438314342,0.0,,,,0.09692682279253202,0.78717369573,0.0,0.09382057031621883,0.80326465135,0.0,0.10040578299112769,0.761164923302,0.0,0.09402764384106964,0.78687342519,0.0,0.09272129716744866,0.77331573097,0.0,0.09615640297560496,0.762315669687,0.0,0.09216832501577248,0.715217469186,0.0,0.08963505124669426,0.720425023118,0.0,0.09297018887080051,0.719501305212,0.0,0.09483073994880688,0.738647153355,0.0,0.09376823226542884,0.781829992338,0.0,0.09160123345864292,0.71136990029,0.0
