bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2076-2082
FI,offwind,341.7425978100517,374.02381424802263,334.0401115067886,345.6129427291082,332.82945565820796,341.6452544926639,342.7972117139558,338.5080764621897,341.3342850678534,372.92922833231813,332.78370278790743,336.59695497850265,330.42956616011736,323.7862108860137,346.44303388830565,327.6634518412748
FI,onwind,188.24329351159113,188.39426236366978,189.88405450656373,186.19781986646512,170.44535723649463,175.34434347147584,182.12117397444186,193.81920869402626,188.13588313943723,199.5652036853436,201.1254391056448,181.93447439083712,178.4544863459348,183.30517342710056,209.63711758277074,192.54709441277333
FI,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,solar,374.25664326104095,371.4672848569663,371.7392961076541,352.3187729738322,375.66066031211835,391.6437280913707,397.8692487085347,371.66994008891197,398.055367765552,406.2106647719837,393.7679042469085,410.1854325650853,418.7969542447047,406.60117354789617,406.46709067778124,384.6226695703095
FR,OCGT,334.9319019949046,276.2411730022427,334.1532892061863,292.3174102222625,253.23796871084048,278.4336560785473,279.7547849897413,322.79588831010005,276.62182962578237,325.52725166189504,334.7999556929359,311.1112607410246,309.3072258794197,297.6862458955179,357.25499204973124,313.1446301057768
FR,offwind,286.9211433978606,306.8780362442752,282.6858916507004,282.29226698204013,302.043557436503,303.23805866367496,300.1263967427933,297.4420989351968,289.02531872805037,306.1919672953603,291.5589558488153,296.88216534311937,303.92426355287944,305.0168412491994,306.11000875036285,289.9858162132564
FR,onwind,193.34911690131057,209.67927699638224,193.98032946521187,196.22716412657314,193.74518736700074,187.98960866946527,208.7853642594938,206.2419658207792,195.43400188751062,191.2283773504216,216.316108203464,198.19149218359158,192.8912441385353,190.41074384017162,203.4923993328549,196.20628154482515
FR,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,solar,292.16991620947323,311.84923931522064,278.703988288508,278.7934179370016,290.06021556937293,290.9940164444291,290.4567816218117,280.3639205131204,297.0460953301207,287.4883985735089,293.19980998411586,298.82871490709465,281.77104917749944,276.3795706784649,280.9755743311227,273.80755712563064
GB,OCGT,251.93030514987245,285.3093017532508,351.99071385622113,314.4959781533142,258.82978850488894,309.21326555111347,296.0314258107342,342.8031303330786,300.2170727474659,198.0234522444305,344.2942212437279,322.336308211189,321.2014514217957,310.47348797435484,335.57846088697454,280.0749166595862
