bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082
CZ,solar,111.80945582509115,79.1086045612849,468.12359487733477,50.331527092224356,13.532383464245566,2.329400147865915,38.14492976936603,133.42850125051027,129.92333508541188,91.17595864858345,90.27954612676874,13.95370888976498,9.69550044109179,20.804253283317585,77.25873583583152,,63.16798115605744
DE,OCGT,17367854.57677761,31479753.376045115,15033873.440301748,17133245.17444455,25110551.36380467,15400416.306992121,24650643.464784622,14630913.940029956,21487298.373692412,22174435.10610813,18540344.8132957,16183240.813200943,17996791.323661618,13492734.985679533,33320052.73265881,,14835798.527627576
DE,offwind,209.9863972593352,158.50735885661024,795.8876610694101,129.12608767831844,29.914845296469036,6.182831151505922,449.54490879725904,236.3466442333349,392.1021295324336,278.7836294523113,200.15315427274365,55.22603860629819,20.305012000138525,43.6797434866433,165.69889559503088,,129.61810125769213
DE,onwind,313.9328791910715,454.5246195287478,1341.8218808329707,179.96699224165673,49.57761515527229,11.314274102559581,883.4361410984518,309.92006971017327,711.9068745504798,22365402.65280145,270.6602311867972,93.3410645468068,12.02155768990233,61.05583906625941,142.51895837865504,,133.07935554959008
DE,ror,91738331.39779836,99709294.26524644,86223054.65592653,97700053.51175472,96978051.10663769,98764971.12779598,88588029.68638955,93170981.26590051,96386974.70339552,92077575.00541487,123465320.04227775,102340560.74937819,87643409.2757896,94620564.59229752,116319506.38044511,,94932009.78836937
DE,solar,44.18717577072622,38.93719872142937,115.99402592540976,20.63940707810556,7.584610372356092,1.0246054106121951,14.656494921257284,56.15860533479053,60.0033003275696,29.09599028818041,39.000885948877325,5.367631560143716,3.221603624842851,8.401045320935577,29.046416260789247,,24.556504817727017
DK,OCGT,12801374.86403182,1697072.2508468525,12682700.815977035,9148635.041347684,2119520.244484044,12339001.608326428,11974804.958318118,9867391.498050625,9766147.925653985,18665684.24409865,13537078.141733453,13937648.117058018,11821331.043881498,10230370.752945203,11181438.280046176,,10351105.932566978
DK,offwind,83.44145810097073,51.54804860974458,142.03659762344353,37.95259542117798,14.378025327688132,1.690480937732539,33.3637302396663,88.43034452841323,100.31347377890808,54.55170224041037,64.52025527560224,10.812947464279128,4.384821744736801,17.498967595007073,47.28796101609907,,35.44765905341214
DK,onwind,71398811.38117374,62661850.286955796,119644608.87696755,16952168.59420872,19972725.864735972,119660013.33724557,56201896.68347391,9962247.647858288,35087506.10870761,163407223.31606242,14464856.82665279,170171265.96891832,29411578.632525798,15142068.67377575,16662129.806394018,,7562089.208686881
DK,ror,72625.72336392108,82084.83737928867,62409.635362309105,78244.71345353352,83625.68394041674,88168.35421589679,83290.93906280343,63594.066702944685,75575.2878504867,73201.24617187063,103336.06283409141,100926.77639439808,90288.72813116932,81706.39319860832,79277.4238990987,,72543.51323489145
DK,solar,29.473430994365785,24.596925007153146,80.95785788344921,14.327137571103721,4.1850116703445455,0.6207810872484777,11.73939557925928,34.15271319886597,36.49656601885033,23.628854950946682,25.401807444715924,3.8788017689256375,2.4551455540927525,5.887968295634586,23.157713760733664,,15.115972351345478
