bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082
HU,onwind,0.0353705581886,0.0212223653732,0.0751100949568,0.0118257153968,0.0044006560229,0.000413763374564,0.0110768928041,0.0275853635772,0.0378254267658,0.023819328147,0.0187225292035,0.00429736853352,0.0023313839731,0.00617507104477,0.0158755237332,0.0311398796069,0.0110720690189
HU,ror,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788,30.526315788
HU,solar,0.131073104994,0.0728919493154,0.53753912263,0.0385001444533,0.0156334683298,0.00305518480989,0.0485846101258,0.109332813749,0.196756113351,0.0986530333382,0.10101870932,0.0239982329745,0.0140840874315,0.027794675678,0.135539236237,0.183116963202,0.646568823296
IE,OCGT,1538.3655349,856.880862695,4802.59047431,1911.5258382,1475.96129108,4766.13384186,0.0654649557682,4560.33569702,0.303462825082,1339.2976975,1443.51264985,1721.33252763,1045.57387146,5741.37217339,1231.38920908,3906.38383373,3253.07960915
IE,offwind,0.0226944120017,0.00910535052549,0.15898356482,0.0124984420908,0.0037535712598,0.000316746890381,0.0057073461894,0.0322176527673,0.0270862517205,0.0207091385283,0.0210143879749,0.00269876322073,0.00181590229363,0.00452421795362,0.0115191683138,0.0197709596781,0.00905898865943
IE,onwind,5885.11908923,6525.63751437,6492.65618299,6754.87107976,6212.19970375,5956.68881968,7479.92484337,6267.55180336,7579.39297843,6395.91974505,6540.39669393,7035.27514225,6838.98944336,6345.55973071,7413.82814087,6626.1173208,6195.34438898
IE,ror,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
IE,solar,0.0225616561053,0.0156748543667,0.05410001898,0.00775832468247,0.00305875091097,0.000448290182127,0.00747295436935,0.0237367943031,0.0251183656233,0.0178026210461,0.0129326901941,0.00271028642548,0.00174367401031,0.00461595823628,0.0104866978617,0.0230375837044,0.00915742505151
IT,OCGT,15866.0031597,19935.7017712,10357.8783966,14161.8345235,10409.5536412,9054.45703615,8169.14788077,6649.72826484,12998.8729025,10595.7574497,7844.0549816,7495.12632141,13055.9587215,7098.35891404,8221.24452499,17153.5054324,19439.5745257
IT,offwind,0.00519309065767,0.00259284328236,0.00823811291349,0.00282275230643,0.000741782929661,0.000107605800024,0.00184923782661,0.00551009536433,0.00875679446628,0.00249163882281,0.00381527159494,0.000677282335558,0.000308016905394,0.00122991629509,0.00205960159561,0.0044316164139,0.00242624878102
IT,onwind,40046.391557,59241.606087,29601.4954115,60180.2734327,27410.0457792,23418.2549275,30774.0998053,29569.1228759,20080.3824975,30489.9928872,2026.56274676,25054.0449265,39386.251616,0.0383671304609,29352.4808843,31112.8871915,37805.2271031
IT,ror,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0
IT,solar,0.227773969132,1.99107035927,15915.4879318,2851.50094096,7195.14004433,21521.9413962,17533.8328701,24031.9175258,24945.9850479,30247.2014621,23937.6855335,34107.7577957,34753.2242945,43236.8276643,40001.576455,54344.8641425,53026.7682801
LT,OCGT,1111.00937339,22.9155839351,688.431032734,2098.78735459,1.65678180362,1555.41754252,0.0353105553466,1722.7360768,863.952089233,996.124199734,1719.18083034,1294.93129663,1606.10825709,1541.48541284,1393.36021332,1784.79313895,1855.51201911
